incident,address,date,charges,latitude,longitude
15011516,"100 E Washington St, Iowa City, IA 52240, USA",10/30/2015  01:36,1) OWI,41.6601104,-91.534599
15011515,"Iowa City, IA, USA",10/30/2015  01:34,1) Public Intoxication,41.6611277,-91.5301683
15011514,"125 S Dubuque St, Iowa City, IA 52240, USA",10/30/2015  01:22,1) Theft 4th Degree,41.659284,-91.533488
15011512,"Iowa City, IA, USA",10/30/2015  00:45,1) Presence on premise (licensed liquor establishment)after hours,41.6611277,-91.5301683
15011510,"800 S Gilbert Ct, Iowa City, IA 52240, USA",10/29/2015  23:03,1) OWI- 2nd Offense,41.652401,-91.529606
15011507,"Iowa City, IA, USA",10/29/2015  10:12,1) Possess alcohol under legal age (PAULA),41.6611277,-91.5301683
15011490,"1720 Waterfront Dr, Iowa City, IA 52240, USA",10/29/2015  12:29,1) Theft 5th Degree,41.6425135,-91.5294795
15011486,"Iowa City, IA, USA",10/23/2015  00:00,1) Theft 5th Degree,41.6611277,-91.5301683
15011478,"200 S Linn St, Iowa City, IA 52240, USA",10/28/2015  23:15,1) Public Intoxication,41.658629,-91.531255
15011477,"500 E Market St, Iowa City, IA 52245, USA",10/28/2015  22:43,1) Public Intoxication- 3rd and Subsequent,41.6641176,-91.528466
15011458,"S Capitol St, Iowa City, IA 52240, USA",10/28/2015  01:41,1) Interference - Interference with official acts,41.6555215,-91.5362206
15011456,"1720 Waterfront Dr, Iowa City, IA 52240, USA",10/28/2015  00:47,1) Theft 5th Degree,41.6425135,-91.5294795
15011453,"Hwy 6 E, Iowa City, IA 52240, USA",10/28/2015  00:02,1) OWI,41.6352244,-91.5000773
15011452,"W Benton St & Emerald St, Iowa City, IA 52246, USA",10/27/2015  23:50,1) Drive while license under suspension/cancelled,41.6496335,-91.5644243
15011439,"1720 Waterfront Dr, Iowa City, IA 52240, USA",10/27/2015  18:12,1) Theft 5th Degree,41.6425135,-91.5294795
15011430,"812 S 1st Ave, Iowa City, IA 52245, USA",10/27/2015  14:50,1) Theft 5th Degree,41.651404,-91.500895
15011424,"1720 Waterfront Dr, Iowa City, IA 52240, USA",10/27/2015  09:56,1) Theft 5th Degree,41.6425135,-91.5294795
15011418,"E Burlington St & S Johnson St, Iowa City, IA 52240, USA",10/27/2015  03:00,1) Drive while license under suspension/cancelled,41.6578222,-91.5272715
15011416,"836 Hudson Ave, Iowa City, IA 52246, USA",10/27/2015  00:37,1) Disorderly House,41.649391,-91.5451439
15011415,"511 S Capitol St, Iowa City, IA 52240, USA",10/27/2015  00:25,"1) Interference - Interference w/official acts causing/ intending injury
2) Assault Causing Injury",41.6549819,-91.5365939
15011410,"1413 Laurel St, Iowa City, IA 52240, USA",10/26/2015  19:06,1) Drive while barred,41.6451,-91.525959
15011405,"1720 Waterfront Dr, Iowa City, IA 52240, USA",10/26/2015  16:32,1) Trespass - Criminal trespass,41.6425135,-91.5294795
15011376,"323 E Burlington St, Iowa City, IA 52240, USA",10/25/2015  20:44,1) Public Intoxication,41.657489,-91.5306882
15011349,"335 Iowa Ave, Iowa City, IA 52240, USA",10/25/2015  02:33,"1) Public Intoxication
2) Interference - Interference with official acts
3) Disorderly Conduct",41.6612409,-91.5312429
15011348,"210 S Dubuque St, Iowa City, IA 52240, USA",10/25/2015  02:21,"1) Interference - Interference with official acts
2) Disorderly Conduct",41.6585994,-91.5331259
15011346,"323 E Burlington St, Iowa City, IA 52240, USA",10/25/2015  02:07,"1) Interference - Interference with official acts
2) Disorderly Conduct",41.657489,-91.5306882
15011345,"IA-1 & E Burlington St & S Gilbert St, Iowa City, IA 52240, USA",10/25/2015  01:15,1) OWI,41.6578464,-91.5302149
15011342,"E Jefferson St & N Clinton St, Iowa City, IA 52240, USA",10/25/2015  00:08,1) OWI- 2nd Offense,41.6624767,-91.5345867
15011341,"400 E Washington St, Iowa City, IA 52240, USA",10/25/2015  00:07,1) Public Intoxication,41.6600518,-91.5301574
15011340,"Fieldhouse, Alta Vista St, Dubuque, IA 52001, USA",10/25/2015  00:48,"1) License-possess ficticious DL/ID
2) Presence on premise (licensed liquor establishment)after hours",42.5041624,-90.6814543
